UID        PID  PPID  C STIME TTY          TIME CMD
jl0844   27545 27486  0 Feb02 pts/22   00:00:00 -bash
jl0844   27546 27441  0 Feb02 ?        00:00:00 sshd: jl0844@notty
jl0844   27564 27546  0 Feb02 ?        00:00:00 /usr/lib/openssh/sftp-server
root     27945  1213  0 Feb02 ?        00:00:00 sshd: jl0844 [priv]
jl0844   28004 27945  0 Feb02 ?        00:00:01 sshd: jl0844@notty
root     28602  1213  0 13:26 ?        00:00:00 sshd: nc0254 [priv]
nc0254   28673 28602  0 13:26 ?        00:00:00 sshd: nc0254@pts/13
nc0254   28674 28673  0 13:26 pts/13   00:00:00 -bash
root     29053  1213  0 Jan31 ?        00:00:00 sshd: jds0687 [priv]
jds0687  29123 29053  0 Jan31 ?        00:00:00 sshd: jds0687@pts/10
jds0687  29124 29123  0 Jan31 pts/10   00:00:00 -bash
root     30268  1213  0 09:17 ?        00:00:00 sshd: mir0028 [priv]
root     30294  1213  0 Jan31 ?        00:00:00 sshd: aas0376 [priv]
mir0028  30328 30268  0 09:17 ?        00:00:00 sshd: mir0028@pts/12
mir0028  30329 30328  0 09:17 pts/12   00:00:00 -bash
aas0376  30363 30294  0 Jan31 ?        00:00:00 sshd: aas0376@notty
aas0376  30364 30363  0 Jan31 ?        00:00:00 /usr/lib/openssh/sftp-server
root     31049     1  0 Jan28 ?        00:02:46 /lib/systemd/systemd-journald
root     32195  1213  0 13:44 ?        00:00:00 sshd: ncp0063 [priv]
ncp0063  32270 32195  0 13:44 ?        00:00:00 sshd: ncp0063@pts/38
ncp0063  32271 32270  0 13:44 pts/38   00:00:00 -bash
